application/activemessage '[Shapiro]
application/andrew-inset '[Borenstein]
application/applefile '[Faltstrom]
application/atom+xml 'RFC4287,RFC5023
application/atomicmail '[Borenstein]
application/atomcat+xml 'RFC5023
application/atomsvc+xml 'RFC5023
application/auth-policy+xml 'RFC4745
application/batch-SMTP 'RFC2442
application/beep+xml 'RFC3080
application/cals-1840 'RFC1895
application/ccxml+xml 'RFC4267
application/cea-2018+xml '[Zimmermann]
application/cellml+xml 'RFC4708
application/cnrp+xml 'RFC3367
application/commonground '[Glazer]
application/conference-info+xml 'RFC4575
application/cpl+xml 'RFC3880
application/csta+xml '[Ecma International Helpdesk]
application/CSTAdata+xml '[Ecma International Helpdesk]
application/cybercash '[Eastlake]
application/davmount+xml 'RFC4709
application/dca-rft '[Campbell]
application/dec-dx '[Campbell]
application/dialog-info+xml 'RFC4235
application/dicom 'RFC3240
application/dns 'RFC4027
application/dvcs 'RFC3029
application/ecmascript 'RFC4329
application/EDI-Consent 'RFC1767
application/EDIFACT 'RFC1767
application/EDI-X12 'RFC1767
application/emma+xml '[W3C]
application/epp+xml 'RFC3730
application/eshop '[Katz]
application/example 'RFC4735
application/fastinfoset '[ITU-T ASN.1 Rapporteur]
application/fastsoap '[ITU-T ASN.1 Rapporteur]
application/fits 'RFC4047
application/font-tdpfr 'RFC3073
application/H224 'RFC4573
application/http 'RFC2616
application/hyperstudio '[Domino]
application/ibe-key-request+xml 'RFC5408
application/ibe-pkg-reply+xml 'RFC5408
application/ibe-pp-data 'RFC5408
application/iges '[Parks]
application/im-iscomposing+xml 'RFC3994
application/index 'RFC2652
application/index.cmd 'RFC2652
application/index.obj 'RFC2652
application/index.response 'RFC2652
application/index.vnd 'RFC2652
application/iotp 'RFC2935
application/ipp 'RFC2910
application/isup 'RFC3204
application/javascript 'RFC4329
application/json 'RFC4627
application/kpml-request+xml 'RFC4730
application/kpml-response+xml 'RFC4730
application/lost+xml 'RFC5222
application/mac-binhex40 '[Faltstrom]
application/macwriteii '[Lindner]
application/marc 'RFC2220
application/mathematica '[Wolfram]
application/mbms-associated-procedure-description+xml '[3GPP]
application/mbms-deregister+xml '[3GPP]
application/mbms-envelope+xml '[3GPP]
application/mbms-msk-response+xml '[3GPP]
application/mbms-msk+xml '[3GPP]
application/mbms-protection-description+xml '[3GPP]
application/mbms-reception-report+xml '[3GPP]
application/mbms-register-response+xml '[3GPP]
application/mbms-register+xml '[3GPP]
application/mbms-user-service-description+xml '[3GPP]
application/mbox 'RFC4155
application/media_control+xml 'RFC5168
application/mediaservercontrol+xml 'RFC5022
application/mikey 'RFC3830
application/moss-keys 'RFC1848
application/moss-signature 'RFC1848
application/mosskey-data 'RFC1848
application/mosskey-request 'RFC1848
application/mpeg4-generic 'RFC3640
application/mpeg4-iod 'RFC4337
application/mpeg4-iod-xmt 'RFC4337
application/mp4 'RFC4337
application/msword '[Lindner]
application/mxf 'RFC4539
application/nasdata 'RFC4707
application/news-transmission 'RFC1036,[Spencer]
application/nss '[Hammer]
application/ocsp-request 'RFC2560
application/ocsp-response 'RFC2560
application/octet-stream 'RFC2045,RFC2046
application/oda 'RFC2045,RFC2046
application/oebps-package+xml 'RFC4839
application/ogg 'RFC5334
application/parityfec 'RFC5109
application/patch-ops-error+xml 'RFC5261
application/pdf 'RFC3778
application/pgp-encrypted 'RFC3156
application/pgp-keys 'RFC3156
application/pgp-signature 'RFC3156
application/pidf+xml 'RFC3863
application/pidf-diff+xml 'RFC5262
application/pkcs10 'RFC2311
application/pkcs7-mime 'RFC2311
application/pkcs7-signature 'RFC2311
application/pkix-cert 'RFC2585
application/pkixcmp 'RFC2510
application/pkix-crl 'RFC2585
application/pkix-pkipath 'RFC4366
application/pls+xml 'RFC4267
application/poc-settings+xml 'RFC4354
application/postscript 'RFC2045,RFC2046
application/prs.alvestrand.titrax-sheet '[Alvestrand]
application/prs.cww '[Rungchavalnont]
application/prs.nprend '[Doggett]
application/prs.plucker '[Janssen]
application/rdf+xml 'RFC3870
application/qsig 'RFC3204
application/reginfo+xml 'RFC3680
application/relax-ng-compact-syntax '{ISO/IEC 19757-2:2003/FDAM-1=http://www.jtc1sc34.org/repository/0661.pdf}
application/remote-printing 'RFC1486,[Rose]
application/resource-lists-diff+xml 'RFC5362
application/resource-lists+xml 'RFC4826
application/riscos '[Smith]
application/rlmi+xml 'RFC4662
application/rls-services+xml 'RFC4826
application/rtf '[Lindner]
application/rtx 'RFC4588
application/samlassertion+xml '[OASIS Security Services Technical Committee (SSTC)]
application/samlmetadata+xml '[OASIS Security Services Technical Committee (SSTC)]
application/sbml+xml 'RFC3823
application/scvp-cv-request 'RFC5055
application/scvp-cv-response 'RFC5055
application/scvp-vp-request 'RFC5055
application/scvp-vp-response 'RFC5055
application/sdp 'RFC4566
application/set-payment '[Korver]
application/set-payment-initiation '[Korver]
application/set-registration '[Korver]
application/set-registration-initiation '[Korver]
application/sgml 'RFC1874
application/sgml-open-catalog '[Grosso]
application/shf+xml 'RFC4194
application/sieve 'RFC5228
application/simple-filter+xml 'RFC4661
application/simple-message-summary '{RFC3842=http://www.rfc-editor.org/rfc/rfcxxxx.txt}
application/simpleSymbolContainer '[3GPP]
application/slate '[Crowley]
application/smil (OBSOLETE) 'RFC4536
application/smil+xml 'RFC4536
application/soap+fastinfoset '[ITU-T ASN.1 Rapporteur]
application/soap+xml 'RFC3902
application/sparql-query '[W3C]
application/sparql-results+xml '[W3C]
application/spirits-event+xml 'RFC3910
application/srgs 'RFC4267
application/srgs+xml 'RFC4267
application/ssml+xml 'RFC4267
application/timestamp-query 'RFC3161
application/timestamp-reply 'RFC3161
application/tve-trigger '[Welsh]
application/ulpfec 'RFC5109
application/vemmi 'RFC2122
application/vnd.3gpp.bsf+xml '[Meredith]
application/vnd.3gpp.pic-bw-large '[Meredith]
application/vnd.3gpp.pic-bw-small '[Meredith]
application/vnd.3gpp.pic-bw-var '[Meredith]
application/vnd.3gpp.sms '[Meredith]
application/vnd.3gpp2.bcmcsinfo+xml '[Dryden]
application/vnd.3gpp2.sms '[Mahendran]
application/vnd.3gpp2.tcap '[Mahendran]
application/vnd.3M.Post-it-Notes '[O'Brien]
application/vnd.accpac.simply.aso '[Leow]
application/vnd.accpac.simply.imp '[Leow]
application/vnd.acucobol '[Lubin]
application/vnd.acucorp '[Lubin]
application/vnd.adobe.xdp+xml '[Brinkman]
application/vnd.adobe.xfdf '[Perelman]
application/vnd.aether.imp '[Moskowitz]
application/vnd.airzip.filesecure.azf '[Mould],[Clueit]
application/vnd.airzip.filesecure.azs '[Mould],[Clueit]
application/vnd.americandynamics.acc '[Sands]
application/vnd.amiga.ami '[Blumberg]
application/vnd.anser-web-certificate-issue-initiation '[Mori]
application/vnd.antix.game-component '[Shelton]
application/vnd.apple.installer+xml '[Bierman]
application/vnd.arastra.swi '[Fenner]
application/vnd.audiograph '[Slusanschi]
application/vnd.autopackage '[Hearn]
application/vnd.avistar+xml '[Vysotsky]
application/vnd.blueice.multipass '[Holmstrom]
application/vnd.bluetooth.ep.oob '[Foley]
application/vnd.bmi '[Gotoh]
application/vnd.businessobjects '[Imoucha]
application/vnd.cab-jscript '[Falkenberg]
application/vnd.canon-cpdl '[Muto]
application/vnd.canon-lips '[Muto]
application/vnd.cendio.thinlinc.clientconf '[Åstrand=Astrand]
application/vnd.chemdraw+xml '[Howes]
application/vnd.chipnuts.karaoke-mmd '[Xiong]
application/vnd.cinderella '[Kortenkamp]
application/vnd.cirpack.isdn-ext '[Mayeux]
application/vnd.claymore '[Simpson]
application/vnd.clonk.c4group '[Brammer]
application/vnd.commerce-battelle '[Applebaum]
application/vnd.commonspace '[Chandhok]
application/vnd.cosmocaller '[Dellutri]
application/vnd.contact.cmsg '[Patz]
application/vnd.crick.clicker '[Burt]
application/vnd.crick.clicker.keyboard '[Burt]
application/vnd.crick.clicker.palette '[Burt]
application/vnd.crick.clicker.template '[Burt]
application/vnd.crick.clicker.wordbank '[Burt]
application/vnd.criticaltools.wbs+xml '[Spiller]
application/vnd.ctc-posml '[Kohlhepp]
application/vnd.ctct.ws+xml '[Ancona]
application/vnd.cups-pdf '[Sweet]
application/vnd.cups-postscript '[Sweet]
application/vnd.cups-ppd '[Sweet]
application/vnd.cups-raster '[Sweet]
application/vnd.cups-raw '[Sweet]
application/vnd.curl '[Byrnes]
application/vnd.cybank '[Helmee]
application/vnd.data-vision.rdz '[Fields]
application/vnd.denovo.fcselayout-link '[Dixon]
application/vnd.dir-bi.plate-dl-nosuffix '[Yamanaka]
application/vnd.dna '[Searcy]
application/vnd.dpgraph '[Parker]
application/vnd.dreamfactory '[Appleton]
application/vnd.dvb.esgcontainer '[Heuer]
application/vnd.dvb.ipdcesgaccess '[Heuer]
application/vnd.dvb.iptv.alfec-base '[Henry]
application/vnd.dvb.iptv.alfec-enhancement '[Henry]
application/vnd.dvb.notif-container+xml '[Yue]
application/vnd.dvb.notif-generic+xml '[Yue]
application/vnd.dvb.notif-ia-msglist+xml '[Yue]
application/vnd.dvb.notif-ia-registration-request+xml '[Yue]
application/vnd.dvb.notif-ia-registration-response+xml '[Yue]
application/vnd.dxr '[Duffy]
application/vnd.ecdis-update '[Buettgenbach]
application/vnd.ecowin.chart '[Olsson]
application/vnd.ecowin.filerequest '[Olsson]
application/vnd.ecowin.fileupdate '[Olsson]
application/vnd.ecowin.series '[Olsson]
application/vnd.ecowin.seriesrequest '[Olsson]
application/vnd.ecowin.seriesupdate '[Olsson]
application/vnd.emclient.accessrequest+xml '[Navara]
application/vnd.enliven '[Santinelli]
application/vnd.epson.esf '[Hoshina]
application/vnd.epson.msf '[Hoshina]
application/vnd.epson.quickanime '[Gu]
application/vnd.epson.salt '[Nagatomo]
application/vnd.epson.ssf '[Hoshina]
application/vnd.ericsson.quickcall '[Tidwell]
application/vnd.eszigno3+xml '[Tóth=Toth]
application/vnd.eudora.data '[Resnick]
application/vnd.ezpix-album '[Electronic Zombie, Corp.]
application/vnd.ezpix-package '[Electronic Zombie, Corp.=ElectronicZombieCorp]
application/vnd.f-secure.mobile '[Sarivaara]
application/vnd.fdf '[Zilles]
application/vnd.fdsn.mseed '[Ratzesberger]
application/vnd.ffsns '[Holstage]
application/vnd.fints '[Hammann]
application/vnd.FloGraphIt '[Floersch]
application/vnd.fluxtime.clip '[Winter]
application/vnd.font-fontforge-sfd '[Williams]
application/vnd.framemaker '[Wexler]
application/vnd.frogans.fnc '[Tamas]
application/vnd.frogans.ltf '[Tamas]
application/vnd.fsc.weblaunch '[D.Smith]
application/vnd.fujitsu.oasys '[Togashi]
application/vnd.fujitsu.oasys2 '[Togashi]
application/vnd.fujitsu.oasys3 '[Okudaira]
application/vnd.fujitsu.oasysgp '[Sugimoto]
application/vnd.fujitsu.oasysprs '[Ogita]
application/vnd.fujixerox.ART4 '[Tanabe]
application/vnd.fujixerox.ART-EX '[Tanabe]
application/vnd.fujixerox.ddd '[Onda]
application/vnd.fujixerox.docuworks '[Taguchi]
application/vnd.fujixerox.docuworks.binder '[Matsumoto]
application/vnd.fujixerox.HBPL '[Tanabe]
application/vnd.fut-misnet '[Pruulmann]
application/vnd.fuzzysheet '[Birtwistle]
application/vnd.genomatix.tuxedo '[Frey]
application/vnd.geogebra.file '[GeoGebra],[Kreis]
application/vnd.gmx '[Sciberras]
application/vnd.google-earth.kml+xml '[Ashbridge]
application/vnd.google-earth.kmz '[Ashbridge]
application/vnd.grafeq '[Tupper]
application/vnd.gridmp '[Lawson]
application/vnd.groove-account '[Joseph]
application/vnd.groove-help '[Joseph]
application/vnd.groove-identity-message '[Joseph]
application/vnd.groove-injector '[Joseph]
application/vnd.groove-tool-message '[Joseph]
application/vnd.groove-tool-template '[Joseph]
application/vnd.groove-vcard '[Joseph]
application/vnd.HandHeld-Entertainment+xml '[Hamilton]
application/vnd.hbci '[Hammann]
application/vnd.hcl-bireports '[Serres]
application/vnd.hhe.lesson-player '[Jones]
application/vnd.hp-HPGL '[Pentecost]
application/vnd.hp-hpid '[Gupta]
application/vnd.hp-hps '[Aubrey]
application/vnd.hp-jlyt '[Gaash]
application/vnd.hp-PCL '[Pentecost]
application/vnd.hp-PCLXL '[Pentecost]
application/vnd.httphone '[Lefevre]
application/vnd.hydrostatix.sof-data '[Gillam]
application/vnd.hzn-3d-crossword '[Minnis]
application/vnd.ibm.afplinedata '[Buis]
application/vnd.ibm.electronic-media '[Tantlinger]
application/vnd.ibm.MiniPay '[Herzberg]
application/vnd.ibm.modcap '[Hohensee]
application/vnd.ibm.rights-management '[Tantlinger]
application/vnd.ibm.secure-container '[Tantlinger]
application/vnd.iccprofile '[Green]
application/vnd.igloader '[Fisher]
application/vnd.immervision-ivp '[Villegas]
application/vnd.immervision-ivu '[Villegas]
application/vnd.informedcontrol.rms+xml '[Wahl]
application/vnd.informix-visionary '[Gales]
application/vnd.intercon.formnet '[Gurak]
application/vnd.intertrust.digibox '[Tomasello]
application/vnd.intertrust.nncp '[Tomasello]
application/vnd.intu.qbo '[Scratchley]
application/vnd.intu.qfx '[Scratchley]
application/vnd.iptc.g2.conceptitem+xml '[Steidl]
application/vnd.iptc.g2.knowledgeitem+xml '[Steidl]
application/vnd.iptc.g2.newsitem+xml '[Steidl]
application/vnd.iptc.g2.packageitem+xml '[Steidl]
application/vnd.ipunplugged.rcprofile '[Ersson]
application/vnd.irepository.package+xml '[Knowles]
application/vnd.is-xpr '[Natarajan]
application/vnd.jam '[B.Kumar]
application/vnd.japannet-directory-service '[Fujii]
application/vnd.japannet-jpnstore-wakeup '[Yoshitake]
application/vnd.japannet-payment-wakeup '[Fujii]
application/vnd.japannet-registration '[Yoshitake]
application/vnd.japannet-registration-wakeup '[Fujii]
application/vnd.japannet-setstore-wakeup '[Yoshitake]
application/vnd.japannet-verification '[Yoshitake]
application/vnd.japannet-verification-wakeup '[Fujii]
application/vnd.jcp.javame.midlet-rms '[Gorshenev]
application/vnd.jisp '[Deckers]
application/vnd.joost.joda-archive '[Joost]
application/vnd.kahootz '[Macdonald]
application/vnd.kde.karbon '[Faure]
application/vnd.kde.kchart '[Faure]
application/vnd.kde.kformula '[Faure]
application/vnd.kde.kivio '[Faure]
application/vnd.kde.kontour '[Faure]
application/vnd.kde.kpresenter '[Faure]
application/vnd.kde.kspread '[Faure]
application/vnd.kde.kword '[Faure]
application/vnd.kenameaapp '[DiGiorgio-Haag]
application/vnd.kidspiration '[Bennett]
application/vnd.Kinar '[Thakkar]
application/vnd.koan '[Cole]
application/vnd.kodak-descriptor '[Donahue]
application/vnd.liberty-request+xml '[McDowell]
application/vnd.llamagraphics.life-balance.desktop '[White]
application/vnd.llamagraphics.life-balance.exchange+xml '[White]
application/vnd.lotus-1-2-3 '[Wattenberger]
application/vnd.lotus-approach '[Wattenberger]
application/vnd.lotus-freelance '[Wattenberger]
application/vnd.lotus-notes '[Laramie]
application/vnd.lotus-organizer '[Wattenberger]
application/vnd.lotus-screencam '[Wattenberger]
application/vnd.lotus-wordpro '[Wattenberger]
application/vnd.macports.portpkg '[Berry]
application/vnd.marlin.drm.actiontoken+xml '[Ellison]
application/vnd.marlin.drm.conftoken+xml '[Ellison]
application/vnd.marlin.drm.license+xml '[Ellison]
application/vnd.marlin.drm.mdcf '[Ellison]
application/vnd.mcd '[Gotoh]
application/vnd.medcalcdata '[Schoonjans]
application/vnd.mediastation.cdkey '[Flurry]
application/vnd.meridian-slingshot '[Wedel]
application/vnd.MFER '[Hirai]
application/vnd.mfmp '[Ikeda]
application/vnd.micrografx.flo '[Prevo]
application/vnd.micrografx.igx '[Prevo]
application/vnd.mif '[Wexler]
application/vnd.minisoft-hp3000-save '[Bartram]
application/vnd.mitsubishi.misty-guard.trustweb '[Tanaka]
application/vnd.Mobius.DAF '[Kabayama]
application/vnd.Mobius.DIS '[Kabayama]
application/vnd.Mobius.MBK '[Devasia]
application/vnd.Mobius.MQY '[Devasia]
application/vnd.Mobius.MSL '[Kabayama]
application/vnd.Mobius.PLC '[Kabayama]
application/vnd.Mobius.TXF '[Kabayama]
application/vnd.mophun.application '[Wennerstrom]
application/vnd.mophun.certificate '[Wennerstrom]
application/vnd.motorola.flexsuite '[Patton]
application/vnd.motorola.flexsuite.adsi '[Patton]
application/vnd.motorola.flexsuite.fis '[Patton]
application/vnd.motorola.flexsuite.gotap '[Patton]
application/vnd.motorola.flexsuite.kmr '[Patton]
application/vnd.motorola.flexsuite.ttc '[Patton]
application/vnd.motorola.flexsuite.wem '[Patton]
application/vnd.motorola.iprm '[Shamsaasef]
application/vnd.mozilla.xul+xml '[McDaniel]
application/vnd.ms-artgalry '[Slawson]
application/vnd.ms-asf '[Fleischman]
application/vnd.ms-cab-compressed '[Scarborough]
application/vnd.mseq '[Le Bodic]
application/vnd.ms-excel '[Gill]
application/vnd.ms-fontobject '[Scarborough]
application/vnd.ms-htmlhelp '[Techtonik]
application/vnd.msign '[Borcherding]
application/vnd.ms-ims '[Ledoux]
application/vnd.ms-lrm '[Ledoux]
