image/cgm '[Francis]
image/example 'RFC4735
image/fits 'RFC4047
image/g3fax 'RFC1494
image/gif 'RFC2045,RFC2046
image/ief 'RFC1314
image/jp2 'RFC3745
image/jpeg 'RFC2045,RFC2046
image/jpm 'RFC3745
image/jpx 'RFC3745
image/naplps '[Ferber]
image/png '[Randers-Pehrson]
image/prs.btif '[Simon]
image/prs.pti '[Laun]
image/t38 'RFC3362
image/tiff 'RFC2302
image/tiff-fx 'RFC3950
image/vnd.adobe.photoshop '[Scarborough]
image/vnd.cns.inf2 '[McLaughlin]
image/vnd.djvu '[Bottou]
image/vnd.dwg '[Moline]
image/vnd.dxf '[Moline]
image/vnd.fastbidsheet '[Becker]
image/vnd.fpx '[Spencer]
image/vnd.fst '[Fuldseth]
image/vnd.fujixerox.edmics-mmr '[Onda]
image/vnd.fujixerox.edmics-rlc '[Onda]
image/vnd.globalgraphics.pgb '[Bailey]
image/vnd.microsoft.icon '[Butcher]
image/vnd.mix '[Reddy]
image/vnd.ms-modi '[Vaughan]
image/vnd.net-fpx '[Spencer]
image/vnd.sealed.png '[Petersen]
image/vnd.sealedmedia.softseal.gif '[Petersen]
image/vnd.sealedmedia.softseal.jpg '[Petersen]
image/vnd.svf '[Moline]
image/vnd.wap.wbmp '[Stark]
image/vnd.xiff '[S.Martin]
